OBJECTID,fpbFtrID,fpbLong,fpbLat,fpbSiteID,fpbRevDt,fpbOFtrID,fpbONm,fpbOSiteID,fpbLocMd,fpbLocAccu,fpbLocDt,fpbFtrTy,fpbFtrNm,fpbRmvDt,fpbMltFtr,fpbFPasSta,fpbStaEvDt,fpbStaEvMd,fpbFySta,fpbFyCrit,fpbCrdDesc,Permanent_Identifier,ReachCode,Measure,EventDate,ReachSMDate,ReachResolution,fpbStrNm,fpbRdID,fpbRdMile,fpbRdNm,fpbLocONm,fpbFtrSTy,fpbFtrNmSr,fpbHeight,fpbLength,fpbWidth,fpbSlope,fpbDrop,fpbOrYr,fpbModDt,fpbModTy,fpbModDesc,fpbDesONm,fpbOwn,fpbLOwn,fpbOperate,fpbFyOwn,fpbOwnTy,fpbLOwnTy,fpbOwnONm,fpbFyTy,fpbFySTy,fpbFyOrYr,fpbFPasONm,fpbLocMdD,fpbFtrTyD,fpbFtrSTyD,fpbEvMdFAD,fpbEvMdPAD,fpbFyTyD,fpbOwnTyD,fpbLOwnTyD,fpbComment,fpbStrID,fpbStrMeas,OWEB_status,OWEB_userid,GlobalID,PriorityGroup
9213,3953,-124.293519,43.33666923,3953,20120613,52430,ODFW,52430,DigDerive,40,20081226,Dam,Joe Ney Slough Reservoir,,no,UnkAnad,0,NA,Unknown,,Location of barrier derived from Oregon 2005 half-meter statewide mosaic (DOQs).,{80C6EB14-27BF-472E-9BC9-F5DBEBFC1E7E},17100304000063,57.018,2015-07-10T13:00:07.000,2012-02-25T00:00:00.000,2,Joe Ney Slough,,,,same,DamPermanent,other,15,,,,,,,,,same,Coos Bay North Bend Water Board,,,,,PubSpDistrict,same,Unknown,,,same,,,,,,,,,This dam is reported as having a fish ladder.,1243226433328,3.243,,,{290244B4-2DE1-4E93-8241-6908CAFD95E1},
9214,3964,-117.4202109,44.83155939,3964,20190927,52309,USBLM-OR-Vale,52309,DigDerive,40,0,Dam,Bacher Creek Reservoir Dam,,no,Unknown,0,NA,Unknown,,Location of barrier derived from Oregon 2005 half-meter statewide mosaic (DOQs).,{ACB8B7A5-95D5-4661-9E82-CF2382846FD4},17050203001150,15.871,2019-09-27T13:41:59.000,2012-02-21T00:00:00.000,2,Bacher Creek,,,,same,DamPermanent,other,30,,100,,,1920,,,,same,U.S. Bureau of Land Management,,,,Private,,same,Unknown,,,same,,,,,,,,,,1174292448285,0.852,,,{6C33FF55-34F8-401E-B3BC-1062DEA43BD7},
9215,3965,-117.9134492,44.96457737,3965,20090617,52350,ODFW,52350,DigDerive,40,0,Dam,Perkins Dam (1),,no,Unknown,0,NA,Unknown,,Location of barrier derived from Oregon 2005 half-meter statewide mosaic (DOQs).,{2F742503-3879-4103-97F0-931EBC304221},17050203005248,12.953,2015-07-10T13:00:07.000,2012-02-21T00:00:00.000,2,,,,,same,DamPermanent,other,8,,40,,,1942,,,,same,Armand W. Perkins,,,,Private,,same,Unknown,,,same,,,,,,,,,,1179133449645,0.031,,,{F39C54F9-65B4-4507-B66A-6109AAE1DAF7},
9216,3972,-124.427259,42.87727043,3972,20090617,51484,ODFW,51484,Unknown,9999,0,Dam,Unknown,,no,Unknown,0,NA,Unknown,,,{F8EF020D-2CF8-4695-9D52-B18E1A705693},17100306000146,98.864,2015-07-10T13:00:07.000,2012-02-25T00:00:00.000,2,Willow Creek,,,,same,DamPermanent,other,,,,,,,,,,same,Unknown,,,,,,same,Unknown,,,same,,,,,,,,,,1244794429108,7.573,,,{8ED61572-5873-43A1-A2F3-79E7DF708A75},
9217,3983,-123.7744846,43.82462523,3983,20090617,60334,ODFW,60334,DigDerive,40,0,Dam,Unknown,,no,UnkAnad,0,NA,Unknown,,Location of barrier derived from Oregon 2005 half-meter statewide mosaic (DOQs).,{0323E91F-600D-4DB7-8692-EBABE615C357},17100303000578,0.48,2015-07-10T13:00:07.000,2012-02-25T00:00:00.000,2,Coon Creek,,,,same,DamPermanent,other,4,,,,,,,,,same,Unknown,,,,,,same,Unknown,,,same,,,,,,,,,Concrete dam to mitigate old culvert.  May be a barrier to juveniles.,1237745438248,0.02,,,{CB63F8B7-726A-4A03-B715-20E9515890EE},
9218,3984,-123.7526975,43.83715646,3984,20090617,60335,ODFW,60335,DigDerive,40,0,Dam,Unknown,,no,UnkAnad,0,NA,Unknown,,Location of barrier derived from Oregon 2005 half-meter statewide mosaic (DOQs).,{2E3D5D11-56AF-4176-BCFC-3458DCA27D50},17100303004627,13.446,2015-07-10T13:00:07.000,2012-02-25T00:00:00.000,2,Crane Creek,,,,same,DamPermanent,other,4,,,,,,,,,same,Unknown,,,,,,same,Unknown,,,same,,,,,,,,,Concrete dam to mitigate old culvert.  May be a barrier to juveniles.,1237534438352,0.073,,,{F5D1CA11-57F1-4EA5-8594-5160A61A13EE},
9219,3985,-123.7193469,43.86159738,3985,20090617,60336,ODFW,60336,DigDerive,40,0,Dam,Unknown,,no,UnkAnad,0,NA,Unknown,,Location of barrier derived from Oregon 2005 half-meter statewide mosaic (DOQs).,{3C49AF8A-3EB1-48DB-A29C-E9DBA06D26CF},17100303000480,0.699,2015-07-10T13:01:44.000,2012-02-25T00:00:00.000,2,Gold Creek,,,,same,DamPermanent,other,4,,,,,,,,,same,Unknown,,,,,,same,Unknown,,,same,,,,,,,,,Concrete dam to mitigate failed culvert.  May be a barrier to juveniles.,1237191438612,0.048,,,{678B9802-E2D0-4FBC-9EE4-2B9C8F0017E4},
9220,3986,-122.6733464,42.92475579,3986,20170315,60337,ODFW,60337,DigDerive,40,20081201,Dam,Unknown,,no,Blocked,20170315,OtherPartialAssess,Unknown,,Location of barrier derived from Oregon 2005 half-meter statewide mosaic (DOQs).,{77A1D116-FC76-49B7-8597-C0826B93E9CB},17100302000893,59.862,2017-04-11T17:15:06.000,2012-02-25T00:00:00.000,2,Serviceberry Creek,,,,same,DamPermanent,other,10,,,,,,,,,same,Unknown,,,,,,same,Unknown,,,ODFW,,,,,,,,,Dam height and location information provided by the Umpqua NF barrier coverage.,1226614429476,2.816,,,{28C341C2-10A0-434C-88C2-D2F713E662D4},
9221,3987,-124.1973676,43.28860916,3987,20090617,60338,ODFW,60338,DigDerive,40,20081201,Dam,Unknown,,no,Blocked,0,OtherPartialAssess,Unknown,,Location of barrier derived from Oregon 2005 half-meter statewide mosaic (DOQs).,{27A3038B-2123-45AF-BF3E-D221A8CAA6A6},17100304000539,74.088,2015-07-10T13:01:44.000,2012-02-25T00:00:00.000,2,,,,,same,DamPermanent,other,,,,,,,,,,same,Unknown,,,,,,same,Unknown,,,ODFW,,,,,,,,,Dam barrier at aqueduct.,1242084432992,1.893,,,{AB11592B-D9D9-4DDD-8673-8A776F67E741},
9222,3988,-124.2046204,43.28911627,3988,20090617,60339,ODFW,60339,DigDerive,40,20081201,Dam,Unknown,,no,Blocked,0,OtherPartialAssess,Unknown,,Location of barrier derived from Oregon 2005 half-meter statewide mosaic (DOQs).,{681CD00E-48C5-4C74-8B2D-4E6EBDBA8453},17100304000543,41.259,2015-07-10T13:01:44.000,2012-02-25T00:00:00.000,2,,,,,same,DamPermanent,other,,,,,,,,,,same,Unknown,,,,,,same,Unknown,,,ODFW,,,,,,,,,,1242030432945,0.707,,,{AB636044-D3B3-4618-BF15-11B7BBE7ACB7},
9223,4014,-120.4044281,42.2732573,4014,20141120,60625,ODFW,60625,DigDerive,40,20090115,Dam,Cox Creek Weir,,no,Blocked,20090115,OtherPartialAssess,None,,Location of barrier derived from Oregon 2005 half-meter statewide mosaic (DOQs).,{9388AF38-3A8E-412A-AEEA-30402951D01E},18020001000832,63.46,2015-07-10T13:01:44.000,2012-02-21T00:00:00.000,2,Cox Creek,,,,same,DamPermanent,other,,,,,,,,,,same,Unknown,,,,,,same,,,,ODFW,,,,,,,,,,1204080422582,1.945,,,{BF699FA5-D178-4ACB-9B63-56078DD03812},
9224,4015,-120.289721,42.48352544,4015,20090617,60624,ODFW,60624,DigDerive,40,20081226,Dam,Elder Weir,,no,Blocked,20081226,OtherPartialAssess,None,,Location of barrier derived from Oregon 2005 half-meter statewide mosaic (DOQs).,{40B1C7C0-A0FB-4F66-B12F-9CFB593A5EA6},17120006000178,99.918,2015-07-10T13:01:44.000,2012-02-27T00:00:00.000,2,Crooked Creek,,,,same,DamPermanent,other,,,,,,,,,,same,Unknown,,,,,,same,,,,ODFW,,,,,,,,,,1202679425150,5.47,,,{F0DB8CEF-BD4B-4B76-8485-27A7031B4400},
9225,4016,-118.8672042,42.79090256,4016,20190927,60621,USBLM-OR-Burns,60621,DigDerive,40,20081224,Dam,Page Springs Gauging Weir,,no,Partial,20120120,OtherPartialAssess,None,,Location of barrier derived from Oregon 2005 half-meter statewide mosaic (DOQs).,{56F0F342-1254-4F71-AD1F-F2D0111BAE4F},17120003000867,26.821,2019-09-30T13:40:11.000,2012-02-26T00:00:00.000,2,Donner und Blitzen River,,,,same,DamPermanent,other,,,,,,,,,,same,U.S. Bureau of Land Management,,,,,,same,,,,ODFW,,,,,,,,,Dam partial passge barrier to native migratory fish under certain flow conditions,1188441432985,75.65,,,{8FC0EE72-B0EA-47E7-B857-DF2EB3BEC411},Group 2
9226,4017,-119.0896664,43.65233339,4017,20190927,60619,USBLM-OR-Burns,60619,DigDerive,40,20081224,Dam,Fivemile Dam,,no,Blocked,20120120,OtherPartialAssess,None,,Location of barrier derived from Oregon 2005 half-meter statewide mosaic (DOQs).,{A9DF4B0D-A001-4115-A22D-37A5BD888530},17120002005022,11.111,2019-09-30T13:40:11.000,2012-02-26T00:00:00.000,2,Silvies River,,,,same,DamPermanent,other,,,,,,,,,,same,U.S. Bureau of Land Management,,,,,,same,,,,ODFW,,,,,,,,,,1190333435686,18.836,,,{FF59608C-6559-45DC-8F79-43AD3F675223},Group 8
9227,4166,-123.4034488,44.31718098,4166,20090617,50462,ODFW,50462,Unknown,9999,0,Dam,Unknown,,no,Unknown,0,NA,Unknown,,,{81915D15-4F40-4C80-8725-0A7B0BA76F00},17090003003865,61.701,2015-07-10T12:59:21.000,2012-02-23T00:00:00.000,2,Hammer Creek,,,,same,DamPermanent,other,6,,,,,,,,,same,Unknown,,,,,,same,Unknown,,,same,,,,,,,,,"Documented in 1960 as a wooden irrigation dam.  Ref. 598 reported the width as 10 feet, and recommended a screen diversion and removal of stop-logs in winter.",1233527443265,4.79,,,{1F43A37E-5811-426F-AEC9-3F989D4DCF34},
9228,4175,-122.3769148,45.42686688,4175,20120410,50915,ODFW,50915,Unknown,9999,0,Dam,Summit Lumber Dam,,no,Partial,20120120,OtherPartialAssess,Unknown,,,{D128671E-62B0-4179-98E5-548DAD6B477D},17090011000300,62.804,2019-09-30T13:40:11.000,2012-02-23T00:00:00.000,2,North Fork Deep Creek,,,,same,DamPermanent,other,7,,,,,,,,,same,Summit Lumber Company,,,,Private,,same,Unknown,,,same,,,,,,,,,Documented in 1958.  This dam is described as a timber and earth fill log pond dam.  Ref. 598 recommended determining if fish passage is desirable.,1224107453935,5.265,,,{9AE5F036-81C3-4152-9469-63C0CAD6E2F8},Group 9
9229,4177,-123.3923492,44.53434673,4177,20090617,50461,ODFW,50461,Unknown,9999,0,Dam,Unknown,,no,UnkAnad,0,NA,Unknown,,,{482CE5EB-9C27-415F-8A6F-B209C20482E1},17090003000163,98.556,2015-07-10T12:59:21.000,2012-02-23T00:00:00.000,2,Greasy Creek,,,,same,DamPermanent,other,6,,,,,,,,,same,Unknown,,,,,,same,Unknown,,,same,,,,,,,,,"Documented in 1958 as a concrete dam.  Ref. 598 reported the width as 40 feet, and recommended improvement of the ladder or removal of the dam.",1233858445384,1.37,,,{ADB520DB-F125-4826-837B-AB875AF9B17E},
9230,4229,-123.2718248,42.09211705,4229,20090617,51217,ODFW,51217,Unknown,9999,0,Dam,Sturgis Fork Dam,,no,Unknown,0,NA,None,,,{39FDBC47-9F8B-4491-9874-8BFF6913887E},17100309002379,79.201,2015-07-10T12:59:21.000,2012-02-20T00:00:00.000,2,Sturgis Fork,,,,same,DamPermanent,other,18,,,,,,,,,same,Unknown,,,,,,same,,,,ODFW,,,,,,,,,Ref. 50062 reported that it is unladdered and impassable with low upstream potential.,1232176420727,7.107,,,{8BD1E615-8C6F-47CD-8A31-D3F81CB9B79B},
9231,4231,-123.3934864,42.2705669,4231,20190927,51223,USBLM-OR-Medford,51223,Unknown,9999,0,Dam,Yale Creek Diversion Dam,,no,Unknown,0,NA,None,,,{8D0A4D02-0079-4D9A-9D5A-4451C73296B4},17100309000358,58.79,2019-09-27T13:41:59.000,2012-02-20T00:00:00.000,2,,,,,same,DamPermanent,other,5,,,,,,,,,same,U.S. Bureau of Land Management,,,,,,same,,,,ODFW,,,,,,,,,Ref. 50062 reported that it is unladdered and marginally passable.,1233918422785,1.252,,,{3BDD6A91-6808-4496-BD73-CEB9FB1F4C0A},
9232,4232,-122.9222981,42.15494027,4232,20090617,51224,ODFW,51224,Unknown,9999,0,Dam,Houston Dam,,no,UnkAnad,0,NA,FuncOkay,unknown,,{D034717B-61D7-47A6-97A6-832FD5D5B310},17100309000220,30.394,2015-07-10T12:59:21.000,2012-02-20T00:00:00.000,2,Little Applegate River,,,,same,DamPermanent,other,4,,,,,,,,,same,Private,,,,Private,,same,Pool,PoolAndWeir,,ODFW,,,,,,,,,Ref. 50062 reported the dam as laddered with marginal passage.  Fishway and FishwayType source: Ref. 50088.,1230453421985,12.921,,,{27632E79-113D-4384-B074-04352AC98222},
9233,4235,-123.0449684,42.28152972,4235,20090617,51225,ODFW,51225,Unknown,9999,0,Dam,Winningham Reservoir Dam,,no,Unknown,0,NA,None,,,{689CD56B-BABB-41E2-8D0D-88850B98665D},17100309000246,82.491,2015-07-10T12:59:27.000,2012-02-20T00:00:00.000,2,Forest Creek,,,,same,DamPermanent,other,20,,,,,,,,,same,Unknown,,,,,,same,,,,ODFW,,,,,,,,,Winningham Reservoir is assumed; CTS barrier is also assumed.  Height and fishway source: Upper Rogue District Biologist.,1230670422303,8.751,,,{11EED83A-6431-4CEE-8792-AE6EDCF3CD2C},
9234,4236,-123.6664123,42.1630006,4236,20151227,51237,ODFW,51237,DigDerive,40,20081204,Dam,Pomeroy Dam,,no,Partial,20081204,OtherPartialAssess,Unknown,,Location of barrier derived from Oregon 2005 half-meter statewide mosaic (DOQs).,{EDA0BC7B-7549-415F-802B-AA453300024F},17100311008045,0.327,2019-09-30T13:40:11.000,2012-02-20T00:00:00.000,2,Illinois River,,,,same,DamPermanent,other,15,4,270,0,4,,,,,APWC,Q-Bar-X Ranch (Bill Fole),Q-Bar-X Ranch (Dan Andrade),Q-Bar-X Ranch (Dan Andrade),,Private,,APWC,Unknown,,,ODFW,Digitally derived (GIS road and stream intersections) with (resource grade) Field - GPS,,,,,,,,"Cement with spillway opt flashboards. Adult barrier during irrigation, adult low flow, juvenile barrier.  No fishway.  Diversion not in use past few years. Drop est.  Spillway is jump location. #1 Rogue Basin 2013 Statewide ODFW list",1240662425495,89.798,,,{58C6FE9B-B41A-47C6-BE09-6881BF82D8CF},Group 1
9235,4239,-123.6322873,42.68003118,4239,20190927,51232,USBLM-OR-Medford,51232,Unknown,9999,0,Dam,Benton Mine Diversion Dam,,no,UnkAnad,0,NA,None,,,{F0F98797-D5D5-4D3E-9145-CDA88BA02BD2},17100310000260,87.12,2019-09-27T13:41:59.000,2012-02-25T00:00:00.000,2,Whisky Creek,,,,same,DamPermanent,other,9,,,,,,,,,same,U.S. Bureau of Land Management,,,,,,same,,,,ODFW,,,,,,,,,Ref. 50062 reported that it is unladdered and impassable.,1236384426590,2.944,,,{5918205C-20D7-40D6-914A-3B53A08E3F31},
